Symbol	Description
DELTACORP	Delta Corp Limited
DELTAMAGNT	Delta Manufacturing Limited
DEN	Den Networks Limited
DENEERS-SM	DENEERS-SM
DENORA	De Nora India Limited
DENTA	DENTA
DENTALKART-SM	DENTALKART-SM
DEVIT	Dev Information Technology Limited
DEVYANI	Devyani International Limited
DGCONTENT	Digicontent Limited
DHAMPURSUG	Dhampur Sugar Mills Limited
DHANBANK	Dhanlaxmi Bank Limited
DHANI.BL	DHANI SERVICES LIMITED
DHANLAXMI-SM	DHANLAXMI-SM
DHANUKA	Dhanuka Agritech Limited
DHARAN	Dharan Infra-EPC Limited
DHARMAJ	Dharmaj Crop Guard Limited
DHARSUGAR	Dharani Sugars&Chemicals Limited
DHRUV	Dhruv Consultancy Services Limited
DHTL.ST	Docmode Health Tech Ltd
DHUNINV	Dhunseri Investments Limited
DIACABS	Diamond Power Infrastructure Limited
DIAMINESQ	DIAMINES AND CHEMICALS ORD (BSE)
DIAMONDYD	Prataap Snacks Limited
DICIND	DIC India Limited
DIFFNKG	Diffusion Engineers Ltd
DIGIDRIVE	DIGIDRIVE DISTRIBUTORS LTD
DIGISPICE	DiGiSPICE Technologies Limited
DIGITIDE	Digitide Solutions Limited
DIGJAMLMTD	Digjam Limited
DIGJAMLTD	Digjam Limited
DIL	Debock Industries Limited
DISHTV	Dish TV India Limited
DIVGIITTS	Divgi Torqtransfer Systems Limited
DIVIDEND	Mirae Asset BSE 500 Dividend Leaders 50 ETF
DIVINEHIRA.ST	Divine Hira Jewellers Ltd.
DIVISLAB	Divi's Laboratories Limited
DIVISLAB.BL	DIVI'S LABORATORIES LTD
DIVOPPBEES	Nippon India Mutual Fund - Nippon India ETF Dividend Opportunities
DIXON	Dixon Technologies (India) Limited
DIXON.BL	DIXON.BL
DJML	DJ Mediaprint & Logistics Limited
DKEGL-SM	DKEGL-SM
DLF	DLF Limited
DLF.BL	DLF LIMITED
DLINKINDIA	D-Link (India) Limited
DMART	Avenue Supermarts Limited
DMCC	DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA	Diligent Media Corporation Limited
DODLA	Dodla Dairy Limited
DOLATALGO	Dolat Algotech Limited
DOLLAR	Dollar Industries Limited
DOLLEX-SM	DOLLEX-SM
DOLPHIN	Dolphin Offshore Enterprises (India) Limited
DOMS	DOMS Industries Limited
DONEAR	Donear Industries Limited
DPABHUSHAN	D. P. Abhushan Limited
DPEL.ST	Divine Power Energy Ltd
DPSCLTD	DPSC Limited
DPWIRES	D P Wires Limited
DRCSYSTEMS	DRC Systems India Limited
DREAMFOLKS	Dreamfolks Services Limited
DREDGECORP	Dredging Corporation of India Limited
DRL	DHANUKA REALTY LIMITED
DRL.SM	DHANUKA REALTY LTD
DRREDDY	Dr. Reddy's Laboratories Limited
DRREDDY.BL	DRREDDY.BL
DRSCARGO.ST	DRS Cargo Movers Limited
DSSL	Dynacons Systems & Solutions Limited
DTIL	Dhunseri Tea & Industries Limited
DTL-SM	DTL-SM
DUCOL-SM	DUCOL-SM
DUCON	Ducon Infratechnologies Limited
DUGLOBAL-SM	DUGLOBAL-SM
DURLAX-SM	DURLAX-SM
DVL	Dhunseri Ventures Limited
DWARKESH	Dwarikesh Sugar Industries Limited
DYCL	Dynamic Cables Limited
DYCL.BL	DYCL.BL
DYNAMATECH	Dynamatic Technologies Limited
DYNPRO	Dynemic Products Limited
E2E	E2E Networks Limited
EASEMYTRIP	Easy Trip Planners Limited
EASF	ESAF Small Finance Bank Limited
EBANKNIFTY	EBANKNIFTY
EBBETF0430	Edelweiss Amc Ltd - Edelweiss Mutual Fund - Edelweiss Bharat Bond Exchange Traded Fund April 2030
EBBETF0431	Edelweiss Amc Ltd - Edelweiss Mutual Fund - Edelweiss Bharat Bond Exchange Traded Fund April 2031
EBBETF0433	EBBETF0433
EBGNG	EBGNG
ECAPINSURE	ECAPINSURE
ECLERX	eClerx Services Limited
ECOLINE.ST	Ecoline Exim Limited
ECOSMOBLTY	Ecos India Mobility & Hospitality Ltd
EDELWEISS	Edelweiss Financial Services Limited
EDELWEISS.BL	EDELWEISS FIN SERV LTD
EDUCOMP	Educomp Solutions Limited
EFACTOR-SM	EFACTOR-SM
EFCIL	EFC (I) Limited
EFCIL.BL	EFCIL.BL
EICHERMOT	Eicher Motors Limited
EIDPARRY	EID Parry India Limited
EIEL	Enviro Infra Engineers Ltd
EIFFL	Euro India Fresh Foods Limited
EIHAHOTELS	EIH Associated Hotels Limited
EIHOTEL	EIH Limited
EIMCOELECO	Eimco Elecon (India) Limited
EKC	Everest Kanto Cylinder Limited
ELANTAS	Elantas Beck India Ltd
ELDEHSG	Eldeco Housing And Industries Limited
ELECON	Elecon Engineering Company Limited
ELECTCAST	Electrosteel Castings Limited
ELECTHERM	Electrotherm (India) Limited
ELEE	Electro Force
ELGIEQUIP	Elgi Equipments Limited
ELGIRUBCO	Elgi Rubber Company Limited
ELGNZ-SM	ELGNZ-SM
ELIN	Elin Electronics Limited
ELIQUIINAV	ELIQUIINAV
ELLEN	ELLEN
EMAMILTD	Emami Limited
EMAMIPAP	Emami Paper Mills Limited
EMAMIREAL	Emami Realty Limited
EMAPARTNER-SM	EMAPARTNER-SM
EMBASSY	EMBASSY OFFICE PARKS REIT UNITS
EMBASSY-RR	Embassy Office Parks REIT
EMBDL	Equinox India Developments Ltd
EMCURE	Emcure Pharmaceuticals Ltd
EMIL	Electronics Mart India Limited
EMKAY	Emkay Global Financial Services Limited
EMMBI	Emmbi Industries Limited
EMMIL-SM	EMMIL-SM
EMMVEE	EMMVEE PHOTOVOLTAIC PWR L
EMSLIMITED	EMS Limited
EMUDHRA	eMudhra Limited
EMULTIMQ	EMULTIMQ
ENDURANCE	Endurance Technologies Limited
ENERGYDEV	Energy Development Company Limited
ENFUSE-SM	ENFUSE-SM
ENGINERSIN	Engineers India Limited
ENIL	Entertainment Network (India) Limited
ENRIN	Siemens Energy India Limited
ENTERO	Entero Healthcare Solutions Ltd.
ENVIRO-SM	ENVIRO-SM
EPACK	EPACK Durable Limited
EPACKPEB	EPACK PREFAB TECHN LTD
EPIGRAL	Epigral Ltd.
EPL	EPL Limited
EQUAL200	EQUAL200
EQUAL50	MIRAE Asset Mutual Fund - Mirae Asset Nifty50 Equal Weight ETF
EQUAL50ADD	EQUAL50ADD
EQUIPPP	Equippp Social Impact Technologies Limited
EQUITASBNK	Equitas Small Finance Bank Limited
ERIS	Eris Lifesciences Limited
ERIS.BL	ERIS LIFESCIENCES
EROSMEDIA	Eros International Media Limited
ESABINDIA	Esab India Limited
ESAFSFB	ESAF Small Finance Bank
ESCORTS	Escorts Kubota Limited
ESFL-SM	ESFL-SM
ESG	ESG
ESILVER	ESILVER
ESPRIT-SM	ESPRIT-SM
ESSARSHPNG	Essar Shipping Limited
ESSENTIA	Integra Essentia Limited
ESTER	Ester Industries Limited
ETERNAL	Eternal Limited
ETERNAL.BL	ETERNAL LIMITED
ETHOSLTD	Ethos Limited
ETML-SM	ETML-SM
EUREKAFORB	EUREKA FORBES LTD
EUROBOND	EUROBOND
EUROPRATIK	EURO PRATIK SALES LIMITED
EUROTEXIND	Eurotex Industries and Exports Limited
EVEREADY	Eveready Industries India Limited
EVERESTIND	Everest Industries Limited
EVIETF	Icici Prudential Amc Ltd - ICICI Prudential MF - Icici Prudential Nifty Ev & New Age Automotive Etf
EVINDIA	EVINDIA
EXCEL	Excel Realty N Infra Limited
EXCELINDUS	Excel Industries Limited
EXCELSOFT	Excelsoft Technologies Ltd
EXICOM	Exicom Tele-Systems Limited
EXICOM.BL	EXICOM.BL
EXIDEIND	Exide Industries Limited
EXIMROUTES.SM	Exim Routes Ltd
EXPLEOSOL	Expleo Solutions Limited
EXXARO	Exxaro Tiles Limited
FACT	Fertilizers and Chemicals Travancore Limited
FAIRCHEMOR	Fairchem Organics Limited
FALCONTECH.ST	Falcon Technoproj Ind Ltd
FAZE3Q	Faze Three Limited
FCL	Fineotex Chemical Limited
FCONSUMER	Future Consumer Limited
FCSSOFT	FCS Software Solutions Limited
FDC	FDC Limited
FEDERALBNK	The Federal Bank  Limited
FEDFINA	Fedbank Financial Services Limited
FEL	Future Enterprises Limited
FELDVR	Future Enterprises Limited
FIBERWEB	Fiberweb (India) Limited
FIEMIND	Fiem Industries Limited
FILATEX	Filatex India Limited
FILATFASH	Filatex Fashions Limited
FINBUD.ST	FINBUD.ST
FINCABLES	Finolex Cables Limited
FINEORG	Fine Organic Industries Limited
FINIETF	FINIETF
FINKURVE	Finkurve Financial Services Limited
FINOPB	Fino Payments Bank Limited
FINPIPE	Finolex Industries Limited
FIRSTCRY	Brainbees Solutions Limited
FIVESTAR	Five-Star Business Finance Limited
FIVESTAR.BL	Five-Star Bus Fin Ltd
FLAIR	FLAIR
FLEXITUFF	Flexituff Ventures International Limited
FLFL	Future Lifestyle Fashions Limited
FLUOROCHEM	Gujarat Fluorochemicals Limited
FLYSBS.ST	FlySBS Aviation Limited
FMCGIETF	Icici Prudential Nifty Fmcg Etf
FMGOETZE	Federal-Mogul Goetze (India) Limited.
FMNL	Future Market Networks Limited
FOCUS	Focus Lighting and Fixtures Limited
FONEBOX-SM	FONEBOX-SM
FOODSIN	Foods & Inns Limited
FORCEMOT	FORCE MOTORS LTD
FORGEAUTO.ST	FORGE AUTO INTERNATION L
FORTIS	Fortis Healthcare Limited
FORTIS.BL	FORTIS HEALTHCARE LTD
FOSECOIND	Foseco India Limited
FRACTAL	FRACTAL
FRESHARA-SM	FRESHARA-SM
FSL	Firstsource Solutions Limited
FUSION	Fusion Micro Finance Limited
FUSIONPP.E1	Fusion Finance L.P.
GABRIEL	Gabriel India Limited
GAEL	Gujarat Ambuja Exports Limited
GAIL	GAIL (India) Limited
GAIL.T0	GAIL.T0
GALAPREC	Gala Precision Engineering
GALAXYSURF	Galaxy Surfactants Limited
GALLANTT	Gallantt Ispat Limited
GANDHAR	Gandhar Oil Refinery (India) Limited
GANDHITUBE	Gandhi Special Tubes Limited
GANECOS	Ganesha Ecosphere Limited
GANESHBE	Ganesh Benzoplast Limited
GANESHCP	GANESH CONSUMER PRODUCT L
GANESHHOU	Ganesh Housing Limited
GANGAFORGE	Ganga Forging Limited
GANGESSECU	Ganges Securities Limited
GANGOTRI	Gangotri Textiles Limited
GARFIBRES	Garware Technical Fibres Limited
GARUDA	Garuda Construction & Engineering
GATECH	GACM Technologies Limited
GATECHDVR	GACM Technologies Limited
GATEWAY	Gateway Distriparks Limited
GAYAHWS	Gayatri Highways Limited
GAYAPROJ	Gayatri Projects Limited
GCHOTELS.ST	Grand Continent Hotels Ltd.
GEECEE	GeeCee Ventures Limited
GEEKAYWIRE	Geekay Wires Limited
GENCON	Generic Engineering Construction and Projects Limited
GENESYS	Genesys International Corporation Limited
GENSOL	GENSOL ENGINEERING ORD (BSE)
GENUSPAPER	Genus Paper & Boards Limited
GENUSPOWER	Genus Power Infrastructures Limited
GEOJITFSL	Geojit Financial Services Limited
GESHIP	The Great Eastern Shipping Company Limited
GFLLIMITED	GFL Limited
GFSTEELS	Grand Foundry Limited
GHCL	GHCL Limited
GHCLTEXTIL	GHCL TEXTILES LTD
GICHSGFIN	GIC Housing Finance Limited
GICRE	General Insurance Corporation of India
GILLANDERS	Gillanders Arbuthnot & Company Limited
GILLETTE	Gillette India Limited
GILT10BETA	GILT10BETA
GILT5BETA	GILT5BETA
GILT5YBEES	Nippon India ETF Nifty 5 yr Benchmark G-Sec
GINNIFILA	Ginni Filaments Limited
GIPCL	Gujarat Industries Power Company Limited
GKENERGY	GK ENERGY LIMITED
GKWLIMITED	GKW Limited
GLAND	Gland Pharma Limited
GLAXO	GlaxoSmithKline Pharmaceuticals Limited
GLD360INAV	GLD360INAV
GLENMARK	Glenmark Pharmaceuticals Limited
GLFL	Gujarat Lease Financing Limited
GLOBAL	Global Education Limited
GLOBALE	Globale Tessile Limited
GLOBALPET-SM	GLOBALPET-SM
GLOBALVECT	Global Vectra Helicorp Limited
GLOBE	Globe Textiles (India) Limited
GLOBECIVIL	GLOBECIVIL
GLOBUSSPR	Globus Spirits Limited
GLOSTERLTD	GLOSTER LTD (BSE)
GMBREW	GM Breweries Limited
GMDCLTD	Gujarat Mineral Development Corporation Limited
GMMPFAUDLR	GMM Pfaudler Limited
GMRAIRPORT	GMR Airports Limited
GMRP&UI	GMR Power and Urban Infra Limited
GNA	GNA Axles Limited
GNFC	Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON	Goa Carbon Limited
GOCLCORP	GOCL Corporation Limited
GOCOLORS	Go Fashion (India) Limited
GODAVARIB	GODAVARIB
GODFRYPHLP	Godfrey Phillips India Limited
GODIGIT	Go Digit General Insurance Ltd
GODREJAGRO	Godrej Agrovet Limited
GODREJCP	Godrej Consumer Products Limited
GODREJIND	Godrej Industries Limited
GODREJPROP	Godrej Properties Limited
GODREJPROP.BL	GODREJ PROPERTIES
GOENKA	Goenka Diamond and Jewels Limited
GOKEX	Gokaldas Exports Limited
GOKUL	Gokul Refoils and Solvent Limited
GOKULAGRO	Gokul Agro Resources Limited
GOLD1	GOLD1
GOLD360	360 One Mutual Fund - 360 One Gold ETF
GOLDBDINAV	GOLDBDINAV
GOLDBEES	Nippon India ETF Gold BeES
GOLDBETA	GOLDBETA
GOLDCASE	Zerodha Gold ETF
GOLDENTOBC	Golden Tobacco Limited
GOLDETF	GOLDETF
GOLDIAM	Goldiam International Limited
GOLDIETF	GOLDIETF
GOLDKART.ST	Goldkart Jewels Ltd.
GOLDTECH	Goldstone Technologies Limited
GOODLUCK	Goodluck India Limited
GOPAL	Gopal Snacks Ltd
GOYALALUM	Goyal Aluminiums Limited
GOYALSALT-SM	GOYALSALT-SM
GPECO.ST	GP Eco Solutions India L
GPIL	Godawari Power And Ispat limited
GPPL	Gujarat Pipavav Port Limited
GPTHEALTH	GPT Healthcare Ltd
GPTINFRA	GPT Infraprojects Limited
GRANULES	Granules India Limited
GRAPHISAD-SM	GRAPHISAD-SM
GRAPHITE	Graphite India Limited
GRASIM	Grasim Industries Limited
GRAVITA	Gravita India Limited
GRCL-SM	GRCL-SM
GREAVESCOT	Greaves Cotton Limited
GREENCHEF-SM	GREENCHEF-SM
GREENLAM	Greenlam Industries Limited
GREENLEAF.ST	GREENLEAF.ST
GREENPANEL	Greenpanel Industries Limited
GREENPLY	Greenply Industries Limited
GREENPOWER	Orient Green Power Company Limited
GRETEX	GRETEX
GRINDWELL	Grindwell Norton Limited
GRINFRA	G R Infraprojects Limited
GRMOVER	GRM Overseas Limited
GROBTEA	The Grob Tea Company Limited
GROWW	Billionbrains Garage Ventures Ltd
GROWWCAPM	Groww Nifty Capital Markets ETF
GROWWDEFNC	GROWWDEFNC
GROWWEV	GROWWEV
GROWWLIQID	GROWWLIQID
GROWWMETAL	Groww Nifty Metal ETF
GROWWMOM50	Groww Mutual Fund - Nifty 500 Momentum 50 ETF
GROWWN200	Groww Mutual Fund - Nifty 200 ETF Fund of Fund
GROWWRAIL	Groww Nifty India Railways PSU ETF
GROWWSLVR	Groww Mutual Fund - Groww Silver Etf
GRPLTD	GRP Limited
GRSE	Garden Reach Shipbuilders & Engineers Limited
GRWMTLINAV	GRWMTLINAV
GRWN50INAV	GRWN50INAV
GRWRHITECH	Garware Hi-Tech Films Limited
GSEC10ABSL	GSEC10ABSL
GSEC10IETF	GSEC10IETF
GSEC10YEAR	GSEC10YEAR
GSEC5IETF	GSEC5IETF
GSFC	Gujarat State Fertilizers & Chemicals Limited
GSLSU	Global Surfaces Limited
GSMFOILS	GSM Foils Ltd
GSMFOILS.ST	GSM Foils Ltd.
GSPCROP	GSPCROP
GSPL	Gujarat State Petronet Limited
GSS	GSS Infotech Limited
GTECJAINX	G-Tec Jainx Education Limited
GTL	GTL Limited
GTLINFRA	GTL Infrastructure Limited
GTPL	GTPL Hathway Limited
GUFICBIO	Gufic Biosciences Limited
GUJALKALI	Gujarat Alkalies and Chemicals Limited
GUJAPOLLO	Gujarat Apollo Industries Limited
GUJGASLTD	Gujarat Gas Limited
GUJRAFFIA	Gujarat Raffia Industries Limited
GUJTHEM	Gujarat Themis Biosyn Limited
GULFOILLUB	Gulf Oil Lubricants India Limited
GULFPETRO	GP Petroleums Limited
GULPOLY	Gulshan Polyols Limited
GURUNANAK.ST	Gurunanak Agriculture India Limited
GVKPIL	GVK Power & Infrastructure Limited
GVPTECH	GVP Infotech Limited
GVT&D	GE Vernova T&D India Limited
HAL	Hindustan Aeronautics Limited
HALEOSLABS	Haleos Labs Limited
HAPPSTMNDS	Happiest Minds Technologies Limited
HAPPYFORGE	Happy Forgings Limited
HARDWYN	Hardwyn India Limited
HARIOMPIPE	Hariom Pipe Industries Limited
HARRMALAYA	Harrisons  Malayalam Limited
HARSHA	Harsha Engineers International Limited
HATHWAY	Hathway Cable & Datacom Limited
HATSUN	Hatsun Agro Product Limited
HAVELLS	Havells India Limited
HAVISHA	Sri Havisha Hospitality and Infrastructure Limited
HBLENGINE	HBL ENGINEERING LTD
HBSL	HB Stockholdings Limited
HCC	Hindustan Construction Company Limited
HCG	Healthcare Global Enterprises Limited
HCL-INSYS	HCL Infosystems Limited
HCLTECH	HCL Technologies Limited
HCLTECH.BL	HCL TECHNOLOGIES
HDBFS	HDB Financial Services Limited
HDFCAMC	HDFC Asset Management Company Limited
HDFCAMC.BL	HDFCAMC.BL
HDFCBANK	HDFC Bank Limited
HDFCBANK.BL	HDFC BANK
HDFCBANK.T0	HDFCBANK.T0
HDFCBSE500	HDFCBSE500
HDFCGROWTH	HDFCGROWTH
HDFCLIFE	HDFC Life Insurance Company Limited
HDFCLIQUID	HDFC Amc Ltd. - Hdfc Mutual fund - HDFC Nifty 1d Rate Liquid Etf
HDFCLOWVOL	HDFCLOWVOL
HDFCMID150	HDFCMID150
HDFCMOMENT	HDFCMOMENT
HDFCNEXT50	HDFC Mutual Fund - HDFC Nifty Next 50 ETF
HDFCNIF100	HDFC Nifty 100 ETF
HDFCNIFBAN	HDFCNIFBAN
HDFCNIFIT	HDFCNIFIT
HDFCNIFTY	HDFCNIFTY
HDFCPSUBK	HDFCPSUBK
HDFCPVTBAN	HDFCPVTBAN
HDFCQUAL	HDFCQUAL
HDFCSENSEX	HDFC Mutual Fund - HDFC Sensex ETF
HDFCSILVER	HDFCSILVER
HDFCSML250	HDFC Nifty Smallcap 250 ETF
HDFCVALUE	HDFCVALUE
HDIL	Housing Development and Infrastructure Limited
HEADSUP	Heads UP Ventures Limited
HEALTHADD	HEALTHADD
HEALTHIETF	HEALTHIETF
HEALTHY	Aditya Birla Sun Life Nifty Healthcare ETF
HECPROJECT	HEC Infra Projects Limited
HEG	HEG Limited
HEIDELBERG	HeidelbergCement India Limited
HEMIPROP	Hemisphere Properties India Limited
HERANBA	Heranba Industries Limited
HERCULES	Hercules Investments Limited
HERITGFOOD	Heritage Foods Limited
HEROMOTOCO	Hero MotoCorp Limited
HEROMOTOCO.BL	HEROMOTOCO.BL
HESTERBIO	Hester Biosciences Limited
HEXATRADEX	Hexa Tradex Limited
HEXT	Hexaware Technologies Limited
HFCL	HFCL Limited
HGINFRA	H.G. Infra Engineering Limited
HGM	Handson Global Management (HGM) Limited
HGS	Hinduja Global Solutions Limited
HIGREEN-SM	HIGREEN-SM
HIKAL	Hikal Limited
HILINFRA	HILINFRA
HILTON	Hilton Metal Forging Limited
HIMATSEIDE	Himatsingka Seide Limited
HINDALCO	Hindalco Industries Limited
HINDALCO.BL	HINDALCO.BL
HINDCOMPOS	Hindustan Composites Limited
HINDCON	Hindcon Chemicals Limited
HINDCOPPER	Hindustan Copper Limited
HINDOILEXP	Hindustan Oil Exploration Company Limited
HINDPETRO	Hindustan Petroleum Corporation Limited
HINDUNILVR	Hindustan Unilever Limited
HINDWAREAP	Hindware Home Innovation Limited
HINDZINC	Hindustan Zinc Limited
HIRECT	Hind Rectifiers Limited
HISARMETAL	Hisar Metal Industries Limited
HITECH	Hi-Tech Pipes Limited
HITECHCORP	Hitech Corporation Limited
HITECHGEAR	The Hi-Tech Gears Limited
HLEGLAS	HLE Glascoat Limited
HLVLTD	HLV LIMITED
HMAAGRO	HMA AGRO INDUSTRIES ORD (BSE)
HMT	HMT Limited
HMVL	Hindustan Media Ventures Limited
HNDFDS	Hindustan Foods Limited
HNDFDS.BL	HINDUSTAN FOODS
HNGSNGBEES	Nippon India ETF Hang Seng BeES
HOLMARC-SM	HOLMARC-SM
HOMEFIRST	Home First Finance Company India Limited
HOMESFY-SM	HOMESFY-SM
HONASA	Honasa Consumer Limited
HONAUT	Honeywell Automation India Limited
HONAUT.BL	HONAUT.BL
HONDAPOWER	Honda India Power Products Limited
HPAL	HP Adhesives Limited
HPIL	Hindprakash Industries Limited
HPL	HPL Electric & Power Limited
HPTL.ST	Hp Telecom India Ltd.
HSCL	Himadri Speciality Chemical Limited
HTMEDIA	HT Media Limited
HUBTOWN	Hubtown Limited
HUDCO	Housing & Urban Development Corporation Limited
HUHTAMAKI	Huhtamaki India Limited
HYBRIDFIN	Hybrid Financial Services Limited
HYUNDAI	Hyundai Motor India Ltd
HYUNDAI.BL	HYUNDAI MOTOR INDIA LTD
HYUNDAI.T0	HYUNDAI.T0
IBLFL-SM	IBLFL-SM
IBREALEST	Equinox India Developments Ltd
ICDSLTD	ICDS Limited
ICEMAKE	Ice Make Refrigeration Limited
ICICI500	ICICI Prudential S&P BSE 500 ETF
ICICIAMC	ICICI Prudential Asset Management Company Limited
ICICIB22	ICICI Prudential Mutual Fund - Bharat 22 ETF
ICICIBANK	ICICI Bank Limited
ICICIGI	ICICI Lombard General Insurance Company Limited
ICICIPRULI	ICICI Prudential Life Insurance Company Limited
ICIL	Indo Count Industries Limited
ICRA	ICRA Limited
IDBI	IDBI Bank Limited
IDBI.T0	IDBI.T0
IDEA	Vodafone Idea Limited
IDEA.T0	IDEA.T0
IDEAFORGE	ideaForge Technology Limited 
IDEALTECHO.ST	IDEAL TECHNOPLAST IND LTD
IDENTICAL-SM	IDENTICAL-SM
IDFCFIRSTB	IDFC First Bank Limited
IDFCFIRSTB.BL	IDFC FIRST BANK
IDFNIFTYET	IDFC Mutual Fund - IDFC Nifty ETF
IEML.RE.ST	IEML.RE.ST
IEX	Indian Energy Exchange Limited
IFBAGRO	IFB Agro Industries Limited
IFBIND	IFB Industries Limited
IFCI	IFCI Limited
IFGLEXPOR	IFGL Refractories Limited
IFGLEXPOR.BL	IFGLEXPOR.BL
IGARASHI	Igarashi Motors India Limited
IGCL	IGCL
IGIL	International Gemmological Institute (India) Limited
IGL	Indraprastha Gas Limited
IGPL	IG Petrochemicals Limited
IICL	ICICI Prudential Asset Management Company Ltd
IIFL	IIFL Finance Limited
IIFLCAPS	IIFL Capital Services Limited
IITL	Industrial Investment Trust Limited
IKIO	IKIO Lighting Limited
IKS	INVENTURUS KNOWLEDGE SO L
IL&FSENGG	IL&FS Engineering and Construction Company Limited
IL&FSTRANS	IL&FS Transportation Networks Limited
IMAGICAA	Imagicaaworld Entertainment Limited
IMFA	Indian Metals & Ferro Alloys Limited
IMPAL	India Motor Parts and Accessories Limited
IMPEXFERRO	Impex Ferro Tech Limited
INA	Insolation Energy Limited
INCREDIBLE	INCREDIBLE INDUSTRIES LIMITED
INDBANK	Indbank Merchant Banking Services Limited
INDGN	Indegene Ltd
INDHOTEL	The Indian Hotels Company Limited
INDIACEM	The India Cements Limited
INDIAGLYCO	India Glycols Limited
INDIAMART	Indiamart Intermesh Limited
INDIANB	Indian Bank
INDIANCARD	Indian Card Clothing Company Limited
INDIANHUME	Indian Hume Pipe Company Limited
INDIASHLTR	INDIA SHELTER FINANCE CORPORATION LIMITED
INDIFRA.ST	Indifra Limited
INDIGO	InterGlobe Aviation Limited
INDIGOPNTS	Indigo Paints Limited
INDIGRID-IV	India Grid Trust
INDIGRID.BL	INDIA GRID TRUST
INDIQUBE	INDIQUBE
INDNIPPON	India Nippon Electricals Limited
INDOAMIN	Indo Amines Limited
INDOBORAX	Indo Borax & Chemicals Limited
INDOCO	Indoco Remedies Limited
INDOFARM	INDOFARM
INDORAMA	Indo Rama Synthetics (India) Limited
INDOSTAR	IndoStar Capital Finance Limited
INDOTECH	Indo Tech Transformers Limited
INDOTHAI	Indo Thai Securities Limited
INDOTHAI.BL	INDOTHAI.BL
INDOUS	Indo Us Bio-Tech Limited
INDOWIND	Indowind Energy Limited
INDRAMEDCO	Indraprastha Medical Corporation Limited
INDSWFTLAB	Ind-Swift Laboratories Limited
INDTERRAIN	Indian Terrain Fashions Limited
INDUSINDBK	IndusInd Bank Limited
INDUSINVIT	INDUSINVIT
INDUSINVIT-IV	INDUSINVIT-IV
INDUSTOWER	Indus Towers Limited
INFIBPP.E1	Infibeam Avenues Ltd. Partly Paid Up
INFINIUM-SM	INFINIUM-SM
INFLUX.ST	Influx Healthtech Limited
INFOBEAN	InfoBeans Technologies Limited
INFOLLION-SM	INFOLLION-SM
INFOMEDIA	Infomedia Press Limited
INFRABEES	Nippon Mutual Funds - Nippon ETF Infra BeES
INFRAIETF	INFRAIETF
INFY	Infosys Limited
INFY.T0	INFY.T0
INGERRAND	Ingersoll Rand (India) Limited
INNOVACAP	Innova Captab Limited
INNOVANA	INNOVANA
INOXGREEN	Inox Green Energy Services Limited
INOXINDIA	INOX India Limited
INOXWIND	Inox Wind Limited
INSECTICID	Insecticides (India) Limited
INSPIRE-SM	INSPIRE-SM
INSPIRISYS	Inspirisys Solutions Limited
INTEGRITY-SM	INTEGRITY-SM
INTELLECT	Intellect Design Arena Limited
INTENTECH	Intense Technologies Limited
INTERARCH	Interarch Building Products Limited
INTLCONV	International Conveyors Limited
INVENTURE	Inventure Growth & Securities Limited
IOB	Indian Overseas Bank
IOB.T0	IOB.T0
IOC	Indian Oil Corporation Limited
IOLCP	IOL Chemicals and Pharmaceuticals Limited
IONEXCHANG	ION Exchange (India) Limited
IPCALAB	IPCA Laboratories Limited
IPL	India Pesticides Limited
IPSL-SM	IPSL-SM
IRB	IRB Infrastructure Developers Limited
IRB.T0	IRB.T0
IRBINVIT-IV	IRB InvIT Fund
IRCON	Ircon International Limited
IRCTC	Indian Railway Catering And Tourism Corporation Limited
IREDA	Indian Renewable Energy Development Agency Limited
IRFC	Indian Railway Finance Corporation Limited
IRIS	Iris Business Services Limited
IRISDOREME	Iris Clothings Limited
IRMENERGY	IRM ENERGY LTD
ISFT	Intrasoft Technologies Limited
ISGEC	Isgec Heavy Engineering Limited
ISHANCH	Ishan Dyes and Chemicals Limited
IT	IT
ITALIANE-SM	ITALIANE-SM
ITBEES	Nippon India Mutual Fund - Nippon India ETF Nifty IT
ITBETA	ITBETA
ITC	ITC Limited
ITC.BL	ITC LTD
ITCHOTELS	ITC HOTELS LIMITED
ITDC	India Tourism Development Corporation Limited
ITETF	ITETF
ITI	ITI Limited
ITIETF	ITIETF
ITTL.ST	Innovative Tyres & Tubes Limited
IVALUE	iValue Infosolutions Limited
IVC	IL&FS Investment Managers Limited
IVP	IVP Limited
IVZINNIFTY	Invesco Mutual Fund - Invesco India Nifty Exchange Traded Fund
IWARE.ST	Iware Supplychain Services Ltd.
IXIGO	Le Travenues Technology Ltd
IZMO	IZMO Limited
J&KBANK	The Jammu & Kashmir Bank Limited
JAGRAN	Jagran Prakashan Limited
JAGSNPHARM	Jagsonpal Pharmaceuticals Limited
JAIBALAJI	Jai Balaji Industries Limited
JAICORPLTD	Jai Corp Limited
JAINIK.ST	Jainik Power Cables Ltd.
JAINREC	Jain Resource Recycling Limited
JAIPURKURT	Nandani Creation Limited
JAKHARIA.ST	JAKHARIA FABRIC LT
JAMNAAUTO	Jamna Auto Industries Limited
JASH	Jash Engineering Limited
JAYAGROGN	Jayant Agro Organics Limited
JAYBARMARU	Jay Bharat Maruti Limited
